knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K19176	370.67	full	all	0.988702	1308	1286	3943	645	3.15	0.590	fatty acid amide hydrolase 2 [EC:3.5.1.99]
K19177	133.93	full	all	0.970422	809	763	1612	342	5.64	0.590	dehydrodolichyl diphosphate syntase complex subunit NUS1 [EC:2.5.1.87]
K19178	756.60	full	all	0.990906	606	603	4282	1137	1.73	0.590	POLQ-like helicase [EC:5.6.2.4]
K19179	177.23	domain	all	0.997300	611	558	1326	411	3.35	0.590	glycerophosphoinositol glycerophosphodiesterase [EC:3.1.4.44]
K19180	-	-	-	-	2	1	270	270	0.38	0.593	dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD+) [EC:1.1.1.339]
K19181	281.27	domain	trim	0.986793	237	192	490	334	2.58	0.590	1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [EC:1.1.1.292]
K19182	610.17	full	all	1.000000	4	4	394	371	0.50	0.594	chanoclavine-I aldehyde reductase [EC:1.3.1.100]
K19183	350.17	full	all	0.933333	7	7	327	292	0.75	0.592	festuclavine dehydrogenase [EC:1.5.1.44]
K19184	-	-	-	-	1	1	494	494	0.38	0.590	fumigaclavine B O-acetyltransferase [EC:2.3.1.205]
K19185	387.33	full	all	0.210916	38	35	362	292	1.64	0.590	6-hydroxypseudooxynicotine dehydrogenase subunit alpha [EC:1.5.99.14]
K19186	253.47	domain	all	0.700000	8	7	198	168	0.75	0.591	6-hydroxypseudooxynicotine dehydrogenase subunit beta [EC:1.5.99.14]
K19187	1259.40	full	all	0.715344	13	12	843	778	0.86	0.591	6-hydroxypseudooxynicotine dehydrogenase subunit gamma [EC:1.5.99.14]
K19188	566.43	full	all	1.000000	9	6	403	358	0.55	0.592	2,6-dihydroxypseudooxynicotine hydrolase [EC:3.7.1.19]
K19189	475.57	full	all	1.000000	53	44	568	397	0.89	0.591	2,6-dihydroxypyridine 3-monooxygenase [EC:1.14.13.10]
K19190	232.90	full	all	0.985507	37	35	342	202	1.15	0.589	nicotine blue oxidoreductase [EC:1.1.1.328]
K19191	-	-	-	-	4	2	835	833	0.46	0.594	4-methylaminobutanoate oxidase (formaldehyde-forming) [EC:1.5.3.19]
K19192	116.93	full	all	0.997519	617	603	5492	945	5.64	0.590	histone deacetylase complex subunit SAP130
K19193	82.73	full	all	1.000000	207	200	1896	474	3.76	0.590	histone deacetylase complex subunit SAP25
K19194	1254.60	full	all	0.957952	415	409	4590	1427	2.02	0.590	AT-rich interactive domain-containing protein 4A
K19195	1006.70	full	all	0.927587	558	554	11504	1871	4.04	0.590	AT-rich interactive domain-containing protein 4B
K19196	154.47	full	all	0.993859	1086	820	2249	380	3.32	0.590	breast cancer metastasis-suppressor 1 and related proteins
K19197	397.07	full	all	0.869489	650	548	1871	475	2.37	0.590	inhibitor of growth protein 1
K19198	451.33	full	all	0.988819	409	316	1133	360	1.03	0.589	inhibitor of growth protein 2
K19199	272.70	full	all	0.939707	1053	1017	4065	613	8.90	0.590	protein-histidine N-methyltransferase [EC:2.1.1.85]
K19200	98.53	full	all	0.976623	575	564	2307	489	8.95	0.590	isopenicillin-N N-acyltransferase like protein
K19201	202.27	full	all	0.982233	678	542	2275	376	2.10	0.590	Sin3 histone deacetylase corepressor complex component SDS3
K19202	30.43	full	all	0.997017	981	671	1822	251	4.09	0.590	histone deacetylase complex subunit SAP30
K19203	9447.47	domain	all	0.720202	21	21	9554	6720	0.85	0.590	pimaricinolide synthase PimS1
K19204	17726.87	domain	all	0.783069	15	15	9830	9394	0.67	0.590	pimaricinolide synthase PimS2
K19205	3270.33	domain	all	0.793651	12	12	2196	1800	0.58	0.591	pimaricinolide synthase PimS3
K19206	6741.57	domain	all	0.555556	8	8	4104	4031	0.61	0.590	pimaricinolide synthase PimS4
K19207	19396.07	full	all	1.000000	6	6	9635	9545	0.44	0.588	candicidin polyketide synthase FscD
K19208	6540.33	domain	all	0.690476	15	15	16705	6088	1.00	0.589	candicidin polyketide synthase FscE
K19209	586.30	full	all	1.000000	30	12	473	269	0.41	0.594	beta-lactamase class D OXA-42 [EC:3.5.2.6]
K19210	528.17	full	all	1.000000	25	7	257	257	0.42	0.589	beta-lactamase class D OXA-61 [EC:3.5.2.6]
K19211	554.87	full	all	1.000000	21	17	294	283	0.46	0.586	beta-lactamase class D OXA-62 [EC:3.5.2.6]
K19212	595.63	full	all	1.000000	18	15	269	269	0.41	0.595	beta-lactamase class D OXA-63 [EC:3.5.2.6]
K19213	536.60	full	all	0.980392	27	24	268	264	0.45	0.589	beta-lactamase class D OXA-12 [EC:3.5.2.6]
K19214	905.43	full	all	0.933333	12	10	390	390	0.42	0.596	beta-lactamase class C ACC [EC:3.5.2.6]
K19215	824.17	full	all	1.000000	58	50	382	381	0.44	0.589	beta-lactamase class C ACT/MIR [EC:3.5.2.6]
K19216	509.27	full	all	0.840741	15	15	248	239	0.44	0.588	metallo-beta-lactamase class B IND [EC:3.5.2.6]
K19217	577.60	full	all	1.000000	20	18	312	283	0.45	0.592	beta-lactamase class A CARB-17 [EC:3.5.2.6]
K19218	698.57	full	all	1.000000	8	5	298	298	0.41	0.590	beta-lactamase class A CARB-5, RTG family [EC:3.5.2.6]
K19219	154.30	full	all	0.937423	830	799	3268	408	3.68	0.590	peptidyl-lysine (3S)-dioxygenase / protease [EC:1.14.11.63 3.4.-.-]
K19220	393.20	domain	all	0.566805	153	134	2604	492	5.47	0.590	peptidoglycan DL-endopeptidase CwlS [EC:3.4.-.-]
K19221	117.87	full	all	0.992307	4567	3850	1698	336	8.75	0.590	cob(I)alamin adenosyltransferase [EC:2.5.1.17]
K19222	85.97	domain	all	0.921926	3425	2692	1157	228	7.02	0.590	1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]
K19223	285.57	domain	all	0.371328	287	230	2513	567	10.50	0.590	peptidoglycan DL-endopeptidase LytF [EC:3.4.-.-]
K19224	191.10	domain	all	0.535355	549	503	1892	389	7.59	0.590	peptidoglycan DL-endopeptidase LytE [EC:3.4.-.-]
K19225	162.43	full	all	0.977938	777	626	1584	385	6.20	0.590	rhomboid protease GluP [EC:3.4.21.105]
K19226	651.43	full	all	0.976092	929	677	1184	575	1.39	0.590	cationic peptide transport system substrate-binding protein
K19227	370.23	full	all	0.978754	941	610	387	321	1.50	0.590	cationic peptide transport system permease protein
K19228	365.00	full	all	0.990618	947	591	315	296	1.29	0.589	cationic peptide transport system permease protein
K19229	459.23	domain	all	0.995570	945	567	563	330	0.79	0.591	cationic peptide transport system ATP-binding protein
K19230	336.90	domain	all	0.995635	945	574	343	266	0.99	0.589	cationic peptide transport system ATP-binding protein
K19231	438.80	full	all	0.647096	577	548	39473	2227	11.55	0.590	fibronectin-binding autotransporter adhesin
K19232	521.70	domain	all	0.670309	71	52	2208	577	2.40	0.590	hyaluronate-binding autotransporter adhesin
K19233	122.37	domain	all	0.659644	74	55	711	246	5.41	0.590	ECM component-binding autotransporter adhesin
K19234	331.73	full	trim	0.905691	374	240	952	385	5.58	0.590	L,D-transpeptidase YnhG
K19235	499.57	full	trim	0.940755	586	328	675	363	1.89	0.590	L,D-transpeptidase YbiS
K19236	406.90	domain	trim	0.862882	712	488	923	401	3.59	0.590	L,D-transpeptidase YcfS
K19237	876.70	domain	all	0.500000	5	5	2007	1493	0.95	0.590	gingipain K [EC:3.4.22.47]
K19238	78.47	full	all	0.984841	213	68	113	84	1.61	0.677	signal transduction protein PmrD
K19239	555.37	full	all	1.000000	31	23	361	338	0.53	0.592	predicted membrane protein
K19240	254.00	full	all	1.000000	9	7	445	274	0.72	0.592	inhibitor of complement-mediated lysis
K19241	1147.10	full	all	0.959560	395	377	2261	861	1.37	0.590	engulfment and cell motility protein 3
K19242	224.37	full	all	0.970809	195	156	371	293	2.74	0.590	LysR family transcriptional regulator, repressor for citA
K19243	257.63	full	all	0.859867	227	207	500	252	2.08	0.590	NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388]
K19244	314.53	full	all	0.968747	324	298	523	327	2.54	0.590	alanine dehydrogenase [EC:1.4.1.1]
K19245	313.83	full	all	0.982508	385	377	1245	553	3.44	0.590	sulfonate dioxygenase [EC:1.14.11.-]
K19246	490.50	domain	trim	0.944035	142	131	1552	593	2.95	0.590	arachidonate 15-lipoxygenase [EC:1.13.11.33]
K19247	933.10	full	all	1.000000	10	10	586	575	0.60	0.592	Respirovirus hemagglutinin-neuraminidase [EC:3.2.1.18]
K19248	354.27	full	all	1.000000	119	118	758	371	0.92	0.591	Polyomaviridae major capsid protein VP1
K19249	623.27	full	all	1.000000	5	5	932	750	0.87	0.592	Rotavirus outer capsid protein VP4
K19251	706.13	full	all	1.000000	7	7	584	565	0.67	0.590	Influenza A virus hemagglutinin
K19252	1008.30	full	all	1.000000	23	21	860	734	0.68	0.590	Dependoparvovirus capsid protein VP1/VP2/VP3
K19253	-	-	-	-	2	2	666	664	0.47	0.587	Influenza C virus hemagglutinin-esterase-fusion glycoprotein [EC:3.1.1.53]
K19254	795.57	full	all	1.000000	43	43	2288	1212	1.68	0.589	Coronaviridae (excluding betacoronavirus) spike glycoprotein
K19255	854.53	full	all	0.916272	99	98	1549	840	1.64	0.589	Herpesviridae envelope glycoprotein B
K19256	420.77	full	all	1.000000	19	19	630	475	1.40	0.590	Simplexvirus envelope glycoprotein C
K19257	308.07	full	all	1.000000	43	40	550	430	2.08	0.590	Herpesviridae envelope glycoprotein M
K19258	58.93	full	all	1.000000	3	3	156	106	0.67	0.591	HIV protein Tat
K19259	902.83	full	all	1.000000	5	5	493	486	0.45	0.593	Deltaretrovirus envelope glycoprotein gp62
K19260	598.70	full	all	1.000000	206	206	883	508	0.99	0.589	Papillomaviridae major capsid protein L1
K19261	785.07	full	all	1.000000	10	10	601	546	0.65	0.589	Pneumoviridae fusion glycoprotein F0
K19262	179.87	full	all	1.000000	53	53	1843	751	2.66	0.590	Mastadenovirus fiber protein
K19263	151.10	full	all	1.000000	18	17	152	111	0.61	0.589	Orthopoxvirus protein A27
K19264	599.73	full	all	1.000000	7	7	402	392	0.54	0.591	Simplexvirus envelope glycoprotein D
K19265	297.03	full	all	0.995495	3089	2676	1170	568	2.98	0.590	L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]
K19266	664.47	domain	all	0.989247	53	49	525	475	0.97	0.591	lactaldehyde dehydrogenase [EC:1.2.1.22]
K19267	117.20	domain	all	0.971588	3270	2968	1439	400	8.99	0.590	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
K19268	289.07	full	trim	1.000000	414	358	958	475	2.43	0.590	methylaspartate mutase epsilon subunit [EC:5.4.99.1]
K19269	413.97	domain	all	0.860047	1166	1094	3246	667	4.46	0.590	phosphoglycolate phosphatase [EC:3.1.3.18 3.1.3.48]
K19270	226.30	full	all	0.958515	1744	1449	1113	420	5.99	0.590	mannitol-1-/sugar-/sorbitol-6-phosphatase [EC:3.1.3.22 3.1.3.23 3.1.3.50]
K19271	71.43	full	trim	0.958027	1081	912	632	300	6.35	0.590	chloramphenicol O-acetyltransferase type A [EC:2.3.1.28]
K19272	288.90	full	all	0.984127	90	33	288	270	0.97	0.590	aminoglycoside 3'-phosphotransferase I [EC:2.7.1.95]
K19273	175.03	full	all	0.994536	146	94	287	178	1.39	0.590	streptothricin acetyltransferase [EC:2.3.-.-]
K19274	584.27	full	all	1.000000	17	6	260	259	0.40	0.591	aminoglycoside 3'-phosphotransferase VI [EC:2.7.1.95]
K19275	532.53	full	all	0.904762	33	9	294	286	0.49	0.593	aminoglycoside 3-N-acetyltransferase II [EC:2.3.1.81]
K19276	597.13	full	all	1.000000	6	3	270	258	0.39	0.594	aminoglycoside 3-N-acetyltransferase IV [EC:2.3.1.81]
K19277	704.93	full	all	1.000000	4	3	300	299	0.38	0.589	aminoglycoside 3-N-acetyltransferase VI [EC:2.3.1.81]
K19278	266.23	full	trim	0.801274	113	39	270	182	1.30	0.591	aminoglycoside 6'-N-acetyltransferase Ib [EC:2.3.1.82]
K19279	464.27	full	all	0.742424	81	12	294	261	0.66	0.591	aminoglycoside 9-adenylyltransferase [EC:2.7.7.-]
K19280	753.50	full	all	1.000000	43	40	423	392	0.49	0.586	succinyl-CoA:mesaconate CoA transferase [EC:2.8.3.26]
K19281	571.60	full	all	1.000000	43	39	381	347	0.57	0.590	beta-methylmalyl-CoA/(S)-malyl-CoA lyase [EC:4.1.3.24]
K19282	797.10	full	all	1.000000	53	50	446	435	0.54	0.588	bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30]
K19283	440.60	domain	all	0.538070	1191	1160	5986	1004	7.91	0.590	prostatic acid phosphatase [EC:3.1.3.2 3.1.3.5]
K19284	534.27	domain	all	0.877075	293	281	2547	477	3.34	0.590	testicular acid phosphatase [EC:3.1.3.2]
K19285	298.13	full	trim	0.650318	1124	883	734	310	3.66	0.590	FMN reductase (NADPH) [EC:1.5.1.38]
K19286	289.83	domain	all	0.724041	456	370	554	258	4.60	0.590	FMN reductase [NAD(P)H] [EC:1.5.1.39]
K19287	721.17	full	all	0.777778	4	4	988	859	0.73	0.590	HIV envelope glycoprotein gp160
K19288	950.03	full	all	1.000000	53	53	1441	1250	1.14	0.590	Alphavirus structral polyprotein
K19289	192.67	full	all	0.971345	527	447	603	211	2.45	0.590	peripheral myelin protein 22
K19290	222.27	full	all	0.993737	286	239	1234	612	2.80	0.590	mannuronan synthase [EC:2.4.1.33]
K19291	141.57	full	all	0.993007	259	218	934	395	4.43	0.590	mannuronan synthase [EC:2.4.1.33]
K19292	148.63	domain	all	0.992806	228	207	757	457	2.59	0.590	alginate biosynthesis protein AlgK
K19293	259.83	full	all	0.990303	244	208	673	459	3.00	0.590	alginate biosynthesis protein AlgX
K19294	244.83	full	all	0.991524	2798	2613	4359	508	3.71	0.590	alginate O-acetyltransferase complex protein AlgI
K19295	153.07	full	all	0.959546	531	494	1738	429	11.23	0.590	alginate O-acetyltransferase complex protein AlgJ
K19296	79.53	full	all	0.991718	295	244	371	218	5.92	0.590	alginate O-acetyltransferase complex protein AlgF
K19297	-	-	-	-	1	1	347	347	0.39	0.592	subtilase cytotoxin, subunit A
K19298	113.17	full	all	0.977778	54	24	262	141	1.68	0.590	subtilase cytotoxin, subunit B
K19299	-	-	-	-	30	2	264	264	0.36	0.586	aminoglycoside 3'-phosphotransferase III [EC:2.7.1.95]
K19300	303.57	full	trim	0.888180	223	188	516	264	2.31	0.590	aminoglycoside 3'-phosphotransferase II [EC:2.7.1.95]
K19301	325.20	full	all	0.483333	13	9	237	184	0.78	0.592	aminoglycoside 6'-N-acetyltransferase II [EC:2.3.1.82]
K19302	95.77	domain	all	0.939640	4510	3660	2148	263	16.80	0.590	undecaprenyl-diphosphatase [EC:3.6.1.27]
K19303	187.57	domain	all	0.882356	814	562	1567	286	5.96	0.590	murein DD-endopeptidase [EC:3.4.-.-]
K19304	163.33	domain	trim	0.958391	1136	823	2362	420	8.06	0.590	murein DD-endopeptidase [EC:3.4.24.-]
K19305	206.73	full	all	0.937159	203	202	1183	487	4.73	0.590	deuterolysin [EC:3.4.24.39]
K19306	104.17	domain	all	0.998560	1123	1040	2421	393	3.31	0.590	18S rRNA (guanine1575-N7)-methyltransferase [EC:2.1.1.309]
K19307	164.47	full	trim	0.970635	308	305	2546	457	5.13	0.590	25S rRNA (uracil2634-N3)-methyltransferase [EC:2.1.1.313]
K19308	150.90	full	all	0.996416	140	139	1338	398	2.07	0.590	25S rRNA (uracil2843-N3)-methyltransferase [EC:2.1.1.312]
K19309	415.67	domain	all	0.889472	303	237	504	307	1.53	0.590	bacitracin transport system ATP-binding protein
K19310	125.73	full	all	0.944856	442	355	554	253	8.36	0.590	bacitracin transport system permease protein
K19311	168.80	domain	trim	0.921343	361	313	703	298	4.70	0.590	lipase [EC:3.1.1.-]
K19312	915.03	full	all	0.950907	138	127	579	516	0.78	0.591	acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15]
K19313	-	-	-	-	1	1	274	274	0.37	0.584	aminocyclitol acetyltransferase [EC:2.3.-.-]
K19314	-	-	-	-	1	1	180	180	0.37	0.588	streptothricin acetyltransferase [EC:2.3.-.-]
K19315	620.17	full	all	0.611111	3	3	264	264	0.39	0.589	aminoglycoside 3'-phosphotransferase XV [EC:2.7.1.95]
K19316	629.60	full	all	1.000000	7	6	292	292	0.43	0.591	beta-lactamase class A IMI [EC:3.5.2.6]
K19317	662.60	full	all	1.000000	3	3	283	283	0.41	0.594	beta-lactamase class A BEL [EC:3.5.2.6]
K19318	596.87	full	all	1.000000	37	36	273	273	0.44	0.595	beta-lactamase class D OXA-213 [EC:3.5.2.6]
K19319	601.00	full	all	1.000000	19	18	279	276	0.44	0.592	beta-lactamase class D OXA-134 [EC:3.5.2.6]
K19320	627.53	full	all	1.000000	9	9	275	274	0.42	0.593	beta-lactamase class D OXA-211 [EC:3.5.2.6]
K19321	655.90	full	all	1.000000	5	4	275	275	0.39	0.585	beta-lactamase class D OXA-214 [EC:3.5.2.6]
K19322	652.10	full	all	1.000000	9	9	276	276	0.39	0.585	beta-lactamase class D OXA-229 [EC:3.5.2.6]
K19323	133.90	domain	all	0.971037	904	881	4084	632	10.76	0.590	ataxin-10
K19324	89.20	full	all	0.982597	377	368	1923	395	3.53	0.590	protein BEAN1
K19325	1131.83	full	all	0.997436	396	390	2089	1271	1.26	0.590	zinc finger protein 592
K19326	2199.60	domain	all	0.911061	699	698	45036	8509	7.31	0.590	nesprin-1
K19327	483.63	domain	all	0.768890	1139	1103	6688	759	5.66	0.590	anoctamin-10
K19328	218.50	domain	all	0.989428	1139	1100	6018	649	3.41	0.590	synaptotagmin-14/16
K19329	364.63	domain	all	0.884417	798	766	2372	485	4.01	0.590	WW domain-containing oxidoreductase
K19330	529.80	full	all	0.979543	597	595	6355	965	3.38	0.590	run domain Beclin-1 interacting and cysteine-rich containing protein
K19331	126.93	full	all	1.000000	296	293	1047	532	2.87	0.590	barttin (chloride channel Ka/b beta subunit)
K19332	116.40	domain	all	0.998378	626	619	4194	758	6.11	0.590	Meckel syndrome type 1 protein
K19333	284.83	domain	trim	0.598390	2398	1961	1282	360	11.94	0.590	IclR family transcriptional regulator, KDG regulon repressor
K19334	79.37	full	all	0.993336	798	526	441	201	7.17	0.590	biofilm protein TabA
K19335	175.53	full	all	0.966194	300	184	362	199	2.86	0.590	TetR/AcrR family transcriptional regulator, repressor for divergent bdcA
K19336	328.90	domain	all	0.967697	307	192	345	237	2.28	0.590	cyclic-di-GMP-binding biofilm dispersal mediator protein
K19337	311.97	full	trim	0.825951	2606	1805	859	407	8.57	0.590	RpiR family transcriptional regulator, carbohydrate utilization regulator
K19338	297.43	full	all	0.775420	1957	1660	1601	413	10.01	0.590	LysR family transcriptional regulator, nitrogen assimilation regulatory protein
K19339	153.63	full	trim	0.918674	810	713	3019	702	7.53	0.590	NosR/NirI family transcriptional regulator, nitrous oxide reductase regulator
K19340	290.63	domain	trim	0.688030	1018	891	1259	301	6.30	0.590	Cu-processing system ATP-binding protein
K19341	158.90	full	all	0.965032	946	822	559	274	5.56	0.590	Cu-processing system permease protein
K19342	68.53	full	all	0.983130	1337	1163	1467	419	10.35	0.590	copper chaperone NosL
K19343	954.80	full	all	0.969697	18	17	851	685	0.66	0.589	NosR/NirI family transcriptional regulator, nitrite reductase regulator
K19344	106.97	full	all	1.000000	249	220	236	117	1.37	0.589	cytochrome c55X
K19345	324.03	full	all	1.000000	279	259	611	384	1.13	0.590	protein NirF
K19346	5295.07	full	all	0.937113	295	295	17513	7030	2.49	0.590	nesprin-2
K19347	297.60	domain	all	0.863950	1253	1238	4851	829	6.28	0.590	SUN domain-containing protein 1/2
K19348	212.93	full	all	0.997763	676	669	5456	1105	4.06	0.590	meckelin
K19349	683.07	full	all	0.588546	58	57	608	523	1.03	0.591	pleuromutilin/lincosamide/streptogramin A transport system ATP-binding/permease protein
K19350	391.50	domain	all	0.998855	491	437	944	494	1.23	0.590	lincosamide and streptogramin A transport system ATP-binding/permease protein
K19351	966.60	full	all	1.000000	42	13	513	510	0.49	0.592	zinc metalloproteinase [EC:3.4.24.-]
K19352	265.93	full	all	0.997514	603	602	7937	1579	6.00	0.590	coiled-coil and C2 domain-containing protein 2A
K19353	281.90	full	all	0.977679	636	504	1773	712	5.46	0.590	heptose-I-phosphate ethanolaminephosphotransferase [EC:2.7.8.-]
K19354	373.30	domain	all	0.988118	401	256	558	330	2.17	0.590	heptose III glucuronosyltransferase [EC:2.4.1.-]
K19355	86.37	full	all	0.995219	2072	1981	7622	667	9.24	0.590	mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]
K19356	116.57	full	all	0.816761	409	390	1663	458	4.50	0.590	lytic cellulose monooxygenase (C1-hydroxylating) [EC:1.14.99.54]
K19357	573.37	domain	trim	0.920892	90	83	684	434	1.10	0.591	cellulase [EC:3.2.1.4]
K19358	5831.67	full	all	1.000000	8	8	3053	3012	0.47	0.588	Hepatitis C virus polyprotein
K19360	1310.30	full	all	0.891935	485	481	5251	1975	5.13	0.590	nephrocystin-3
K19361	368.57	full	all	0.989563	431	429	2721	754	2.94	0.590	tectonic-2
K19362	94.70	full	all	0.943942	640	623	2034	523	7.41	0.590	transmembrane protein 231
K19363	27.70	full	all	0.995820	2448	2267	2763	235	12.58	0.590	lipopolysaccharide-induced tumor necrosis factor-alpha factor
K19364	363.80	domain	all	0.976716	384	263	1170	429	1.38	0.591	magnesium transporter NIPA1
K19365	77.90	full	all	0.986180	1018	999	3638	408	7.44	0.590	seipin
K19366	62.53	full	all	0.997891	1222	1183	3933	532	8.95	0.590	spartin
K19367	94.87	full	all	0.995699	838	698	3494	475	4.43	0.590	maspardin
K19368	79.93	full	all	1.000000	443	431	1862	510	3.84	0.590	protrudin
K19369	90.77	full	all	0.995272	469	422	953	306	4.70	0.590	heat shock protein beta-11
K19370	137.03	domain	all	0.998217	591	563	1610	469	3.94	0.590	DnaJ homolog subfamily C member 22
K19371	110.60	domain	all	0.998628	801	734	1796	399	3.20	0.590	DnaJ homolog subfamily C member 25
K19372	203.77	domain	all	0.985225	531	447	1439	420	2.83	0.590	DnaJ homolog subfamily C member 27
K19373	89.17	domain	all	0.989522	770	756	1933	523	7.64	0.590	DnaJ homolog subfamily C member 28
K19374	124.40	domain	all	0.976363	658	636	1515	311	6.28	0.590	DnaJ homolog subfamily C member 30
K19375	182.73	full	all	0.990942	614	610	2478	531	4.01	0.590	HSPB1-associated protein 1
K19376	4416.03	full	all	1.000000	6	6	2196	2183	0.45	0.591	Morbillivirus RNA-directed RNA polymerase L [EC:2.7.7.48 3.6.1.- 2.7.7.88 2.1.1.375]
K19377	643.53	full	all	1.000000	6	6	513	507	0.78	0.590	Morbillivirus phosphoprotein
K19378	816.63	full	all	1.000000	6	6	617	611	0.70	0.589	Morbillivirus hemagglutinin glycoprotein
K19379	1001.93	full	all	1.000000	6	6	669	554	0.50	0.592	Morbillivirus fusion glycoprotein F0
K19380	974.80	full	all	1.000000	6	6	541	521	0.50	0.588	Morbillivirus nucleoprotein
K19381	705.07	full	all	1.000000	6	6	335	335	0.43	0.592	Morbillivirus matrix protein
K19382	272.23	full	all	0.952929	973	963	4455	711	7.02	0.590	tectonic-1/3
K19383	258.63	full	all	0.928958	651	599	2899	328	3.04	0.590	homeobox protein TGIF1
K19384	82.63	full	all	0.981858	840	787	1543	304	5.67	0.590	transmembrane protein 17
K19385	166.00	domain	all	0.708191	675	575	1103	257	4.98	0.590	transmembrane protein 216
K19386	377.23	full	all	0.981365	167	164	1207	426	1.62	0.590	NADH kinase [EC:2.7.1.86]
K19387	226.07	full	all	1.000000	521	469	1121	447	1.76	0.589	polymerase I and transcript release factor
K19388	739.17	full	all	1.000000	10	10	807	760	0.89	0.589	Influenza virus polymerase basic protein 2
K19389	1201.73	full	all	1.000000	10	10	766	757	0.64	0.593	Influenza virus RNA-directed RNA polymerase catalytic subunit [EC:2.7.7.48]
K19390	631.93	full	all	1.000000	10	10	797	714	0.84	0.591	Influenza virus polymerase acidic protein
K19391	332.80	full	all	1.000000	10	10	673	506	1.02	0.590	Influenza virus nucleoprotein
K19392	480.53	full	all	1.000000	8	8	522	462	0.76	0.591	Influenza A/B virus neuraminidase [EC:3.2.1.18]
K19393	372.93	full	all	1.000000	8	8	255	252	0.63	0.589	Influenza A/B virus matrix protein 1
K19394	204.83	full	all	1.000000	7	7	97	97	0.41	0.587	Influenza A virus matrix protein 2
K19395	240.97	full	all	1.000000	7	7	121	121	0.45	0.590	Influenza A virus nuclear export protein
K19396	427.00	full	all	1.000000	7	7	237	230	0.48	0.592	Influenza A virus non-structural protein 1
K19397	153.07	full	all	1.000000	5	5	90	90	0.61	0.633	Influenza A virus protein PB1-F2
K19398	447.80	domain	all	0.906337	651	643	5150	1598	5.51	0.590	Bardet-Biedl syndrome 9 protein
K19399	52.40	full	all	1.000000	360	283	501	136	4.57	0.590	BBSome-interacting protein 1
K19400	58.73	full	all	0.996764	507	462	900	401	4.47	0.590	leucine zipper transcription factor-like protein 1
K19401	192.50	domain	all	0.996499	436	430	1889	665	5.01	0.590	Bardet-Biedl syndrome 10 protein
K19402	315.20	full	all	1.000000	410	402	3384	790	4.71	0.590	Bardet-Biedl syndrome 12 protein
K19403	172.20	full	all	0.989660	540	537	6806	857	9.89	0.590	microcephalin
K19404	429.70	domain	all	0.941482	820	796	2698	578	3.73	0.590	phosphatidic acid-selective phospholipase A1 [EC:3.1.1.-]
K19405	230.77	domain	all	0.988114	1190	894	966	367	4.46	0.590	protein arginine kinase [EC:2.7.14.1]
K19406	674.83	domain	trim	0.896098	254	242	1080	410	1.37	0.590	lipase-like abhydrolase domain-containing protein 3 [EC:3.1.1.-]
K19407	663.20	full	all	1.000000	389	387	2108	1106	2.21	0.590	APC membrane recruitment protein 1
K19408	601.50	domain	all	0.974778	382	366	1713	465	2.52	0.590	sushi repeat-containing protein SRPX2
K19409	1525.67	full	trim	0.768024	123	117	2362	1062	2.02	0.589	NACHT, LRR and PYD domains-containing protein 2
K19410	372.80	full	trim	0.979916	615	610	4240	766	4.37	0.590	inner nuclear membrane protein Man1
K19411	50.30	domain	trim	0.989859	1212	891	780	220	6.98	0.590	protein arginine kinase activator
K19412	359.17	full	all	0.926075	178	153	419	281	1.78	0.590	glutamate---[amino group carrier protein] ligase [EC:6.3.2.60]
K19413	513.10	full	all	0.994102	453	427	4002	835	1.93	0.589	lysine-specific histone demethylase 1B [EC:1.-.-.-]
K19414	931.27	domain	all	0.993565	397	391	4110	1199	0.95	0.590	lysine-specific demethylase PHF2 [EC:1.14.11.-]
K19415	1135.47	full	all	0.875698	439	416	3039	966	1.96	0.590	[histone H3]-dimethyl-L-lysine9 demethylase [EC:1.14.11.65 1.14.11.-]
K19416	172.23	domain	all	0.995625	2309	1604	524	277	3.06	0.590	modulator of FtsH protease
K19417	268.03	full	all	1.000000	68	31	171	152	0.53	0.589	XRE family transcriptional regulator, biofilm formation regulator
K19418	359.73	full	all	1.000000	71	49	619	505	0.98	0.590	membrane protein EpsK
K19419	204.20	full	all	1.000000	125	99	473	348	1.57	0.590	transmembrane protein EpsG
K19420	199.87	domain	trim	0.925611	1398	1143	825	303	8.11	0.590	protein tyrosine kinase modulator
K19421	1153.33	full	all	1.000000	68	47	644	606	0.51	0.588	polysaccharide biosynthesis protein EpsC
K19422	358.60	full	all	1.000000	153	134	552	379	1.39	0.589	glycosyltransferase EpsD [EC:2.4.-.-]
K19423	239.97	domain	all	0.993939	113	84	407	267	1.95	0.590	glycosyltransferase EpsE [EC:2.4.-.-]
